1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
2776	DETMS NMS DET NMP DINTFS NFS ADJFS PREP ADJMP DET ADJMP NMP PROPN DETMS NMS PROPN XFAMIL COCO ADV PROPN XFAMIL XFAMIL PINDMP AUX AUX VPPMP DETMS NMS AUX ADV VPPMS COCO VPPMS	le défi des parrainages une mission impossible pour tous les autres prétendants bruno le maire henri guaino ou encore nathalie kosciusko morizet tous ont été recalés le duel est donc confirmé et contesté	<eps> défi des parrainages une mission impossible pour tous les autres prétendants bruno le maire henri guaino ou encore nathalie kosciusko-morizet <eps> tous ont été recalés le duel est donc confirmée <eps> contesté	_
2777	PPER1S VERB COSUB DETMS NMS AUX ADJMS PREP DET NMP	je pense que le duel est porteur de de risques	<eps> pense que le duel est porteur de <eps> risques	_
2778	DINTMS NMS PREP NFS VERB PREP VERB DETMS NMS DET NFP PREP PDEMFS NFS COCO PDEMMS AUX ADV ADJFS	un excès de testostérone risque de stériliser le débat des idées dans cette campagne et ça serait vraiment dommage	<eps> <eps> <eps> testostérone risque de stériliser le débat des idées dans cette campagne <eps> <eps> serait vraiment dommage	_
2779	ADV ADV PREP NMS PREP NFP COCO DINTMS NMS DET NFP ADV NFS PREP DETMS NMS PREP VERB DET PROPN COCO PREP VERB DINTMS NMS PREP NMS PROPN XFAMIL XFAMIL COCO PROPN XFAMIL ADJMP DET CHIF PREF VERB PROPN COCO ADJMP COSUB AUX DET NMP DET NMS AUX ADJFS	pas vraiment de débat d' idées mais un choc des personnalités pas question pour le moment de refonder l' ump ou de faire un droit d' inventaire jean françois copé ou françois fillon tous les deux se disent sarkosiste et quels que soient les sondages leur objectif est identique	<eps> vraiment de débat d' idées mais un choc des personnalités <eps> question pour le moment de refonder l' ump ou de faire un droit d' inventaire jean-françois <eps> copé ou françois fillon <eps> les deux se disent sarkozystes et quels que soient les sondages leur objectif est identique	_
2780	VERB PREP ADV DET NMP	séduire avant tout les militants	séduire avant tout militant <eps>	_
2781	DETMS NMS ADJMS AUX ADV ADJMS AUX ADV DINTFS NFS PREP NMS	le principe c' est que c' est pas une élection de baron	<eps> principe c' est que c' est pas une élection de barons	_
2782	PDEMMS AUX DINTFS NFS VPPFS PREP NMP ADJMS AUX DET NMP PREL VERB VERB DETMS NMS PREP DET PROPN COCO COCO PROPN AUX DINTMS NMS ADJMS ADJMS	c' est une élection confiée aux militants c' est les militants qui vont choisir le président de l' ump et et c' est un suffrage universel direct	<eps> est une élection confier aux militants c' est les militants qui vont choisir le président de l' ump et et c' est un suffrage universel direct	_
2783	PPER1S AUX ADV ADV ADJMS COSUB DINTMS ADJMS PPER1S AUX DINTMS NMS PREP DET NMP COCO DINTMS NMS PREP DET NMP	je suis pas plus favori qu' un autre je suis un candidat parmi les candidats et un militant parmi les militants	ne suis pas plus favori qu' un autre je suis un candidat parmi les candidats et un militant parmi les militants	_
2784	DETMS NMS VERB <eps> DINTMS NMS PROPN XFAMIL VERB DINTMS NMS ADJMS	le duel agace <eps> du coup henri guaino dénonce un dysfonctionnement démocratique	<eps> duel à gaz du cours <eps> guaino dénonce un dysfonctionnement démocratique	_
2785	COCO ADV PDEMMS AUX PDEMMS AUX ADJMS PDEMMS AUX ADV PREP DETFS NFS VERB PDEMMS AUX DET NFS PREL AUX DET NFS PREP <eps>	mais enfin c' est c' est invraisemblable c' est pas de la démocratie voilà c' est quelque démocratie qui est quelque part entre <eps>	mais enfin c' est c' est invraisemblable c' est pas de la démocratie voilà c' est quelques démocratie qui est quelque part entre eux	_
2786	PPER1S ADV AUX VPPMS ADV PREP DETFS PROPN DINTMS NMS COCO PDEMFS PREP PROPN VERB	je l' ai dit déjà entre la corée du nord et celle de cuba voilà	je lui dis <eps> déjà entre la corée du nord et celle de cuba voilà	_
2787	DET NMP VERB NMS PREFP DETMS CHIF CHIF NMS PREP VERB DET ADJMS NMS COCO PREP DET PROPN XFAMIL AUX ADV DINTFS NFS	les militants ont rendez vous le dix huit novembre pour choisir leur nouveau président et à l' ump c' est déjà une révolution	<eps> militants ont rendez-vous <eps> le dix huit novembre pour choisir leur nouveau président et à l' ump c' est déjà une révolution	_
2788	INTJ PREP PINDFP COCO PREP DET PDEMMS AUX PREP DET NFP PREP NFS PREL VERB DET NFP ADJFP PREP DET PROPN XFAMIL PREP PPOBJMS PREP VERB ADV ADV PROPN XFAMIL PREP DETMS NMS PROPN XFAMIL XFAMIL	bienvenue à toutes et à tous c' est entre les lignes l' émission qui décortique les pages politiques de vos news magazine avec moi pour décortiquer (h) bien guillaume roquette pour le figaro magazine bonjour guillaume	bienvenue à toutes et à tous c' est entre les lignes l' émission qui décortique les pages politiques de vos news magazines avec moi pour décortiquer <eps> bien guillaume roquette pour le figaro magazine bonjour guillaume	_
2789	DETMS ADJMS PROPN XFAMIL	décortiquons cher christophe bonjour	<eps> <eps> christophe bonjour	_
2790	PREP NMS PREP PREFP PROPN XFAMIL PREP DETMS NMS ADJMS ADJMS	à côté de vous romain gubert pour le point bonjour romain	<eps> côté de vous romain gubert pour le point bonjour romain	_
2791	INTJ PROPN	bonjour christophe	<eps> christophe	_
2792	PREP DET ADJMS NMS PREP DETFS NFS PREFP VERB DINTMS ADJMS PROPN XFAMIL PREP DETMS ADJMS NMS ADJMS PROPN	de l' autre côté de la table nous avons un certain claude weill pour le nouvel observateur bonjour claude	<eps> l' autre côté de la table nous avons un certain claude weill pour le nouvel observateur bonjour claude	_
2793	INTJ PROPN	bonjour christophe	<eps> christophe	_
2794	COCO ADV ADV PROPN VERB DINTMS ADV <eps> ADV ADJMS NMS AUX ADJMS NMS VERB AUX <eps> DET NFS PREL VERB COCO PPER1S VERB DINTMS NMS PREP PREFP VERB	et puis enfin houla parlez un peu <eps> plus fort c' est c' est peut être <eps> mon audition qui baisse mais j' ai du mal à vous entendre	<eps> puis au cas mais on ne peut plus fort c' est c' est peut être de mon audition qui baisse mais j' ai du mal à vous entendre	_
2795	PPER1S AUX VPPMS INTJ <eps> PROPN	j' ai dit bonjour <eps> christophe	<eps> ai dit bon jour christophe	_
2796	ADV ADV ADV ADV	très bien très bien	<eps> bien très bien	_
2797	PREFP PREFP VERB PPER3MS PREFP VERB COCO ADV ADV PROPN XFAMIL PREP PROPN XFAMIL	levez vous s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	cette levée s' il vous plaît et puis enfin laurent neumann pour marianne bonjour	_
2798	INTJ PROPN	bonjour christophe	<eps> christophe	_
2799	INTJ PROPN PREFP VERB VERB DET NFP PREP DET NMP VERB PREP NMS PDEMFS PREP PROPN PREP DET NMP PDEMMS VERB ADV PPER3MS PPOBJMS VERB ADV ADV PREP DET NMP	bonjour laurent nous allons regarder les couvertures de vos journaux voici d' abord celle de marianne avec les mensonges ça suffit alors il y a beaucoup beaucoup de de sujets	<eps> <eps> nous allons regarder les couvertures de vos journaux voici d' abord celle de marianne avec les mensonges ça suffit alors <eps> <eps> <eps> beaucoup beaucoup de de sujet	_
2800	PROPN VERB PREP DET PROPN XFAMIL ADJMS NMS PROPN XFAMIL PREP DET NFS ADJFS COCO PROPN COCO MOTINC PINDMS VERB VERB PREP PROPN PREP NMS PREP DINTMS NMS	arcelormittal tricherie à l' ump impôts chômage mariage gay prix de l' essence délinquance et cetera et cetera on va parler d' arcelormittal en particulier dans un instant	arcelormittal tricherie à l' ump impôts chômage mariage gay prix de l' essence délinquance etc etc <eps> <eps> on va parler d' arcelormittal en particulier dans un instant	_
2801	DETMS ADJMS NMS PREP DET ADJMS NMS PROPN PREFP VERB PPOBJMS VERB ADV DETMS NMS	le nouvel observateur avec l' inquiétant monsieur copé nous allons y revenir également le point	le nouvel observateur avec l' inquiétant monsieur copé nous allons y revenir également le point	_
2802	ADV DETMS NMS VERB DET NMS PREP PDEMMP PREL PPOBJMP AUX VPPMS NMP ADJMP NMP ADJMP ADJMP ADJMP NMP ADJMP	alors le point fait l' inventaire de ceux qui en ont marre entrepreneurs médecins cadres artisans professions libérales enseignants commerçants	<eps> le point fait l' inventaire de ceux qui en ont marre entrepreneurs médecins cadres artisans professions libérales enseignants commerçants	_
2803	ADV PPER1S PPER1S PPER1S VERB PPER1S VERB DINTMS NMS COSUB PROPN VERB PDEMFS NFS VERB COSUB ADV PUNCT PREP PDEMFS NFS PDEMMS VERB COSUB PREP DET NMP DET NMP DET NMP COCO DET NMP PINDMS VERB ADV	alors je je je relève je fais un aparté que marianne malicieusement cette semaine relève que donc d' après cette couverture ça signifie que pour les ouvriers les chômeurs les smicards et les pauvres tout va bien	<eps> je je je relève je fais un aparté que marianne malicieusement cette semaine relève que donc d' après cette couverture ça signifie que pour les ouvriers les chômeurs les smicards et les pauvres tout va bien	_
2804	PROPN PUNCT INTJ PPER3MP ADV PPOBJMS AUX ADV VPPMS ADV ADV PPER3MP AUX ADV PREP DETMS NMS DINTMS NMS	(h) oui oui ils n' en ont pas marre visiblement enfin ils sont pas dans le dossier du point	<eps> oui non non <eps> <eps> <eps> pas marc visiblement enfin ils sont pas dans le dossier du poids	_
2805	NMP DET NMP ADV PDEMMS COCO VERB ADV PREP DET NFP	(ar)tisans les commerçants tout ça et d' ailleurs avec des choses	<eps> les commerçants tout ça est d' ailleurs avec des choses	_
2806	NMP PREL VERB PPOBJMP VERB ADV COSUB	étudiants qui s' en vont parce que	étudiants qui s' en vont parce que	_
2807	PROPN PREP NMS AUX ADV ADV	(flor)ange par exemple sont pas dedans	ne <eps> <eps> sont pas dedans	_
2808	COCO VERB PREFP VERB	mais attendez vous plaisantez	mais attendez vous plaisantez	_
2809	ADJMS PREP DET CHIF NFP PREL ADV <eps> VERB DETMS NMS PREP PREP DETMS NMS ADV COSUB ADV DETMS NMS ADJMS PINDMS VERB ADV COSUB PDEMMS AUX <eps> PREP NFS	complet de de seize pages qui justement <eps> fait le point sur sur le climat parce que finalement le climat social on voit bien que c' est <eps> en ébullition	complet de de ces pages qui justement on fait le point sur sur le climat parce que finalement le climat social on voit bien que c' est sûr en ébullition	_
2810	PREP DET NFS PREL AUX ADV ADV PPER3MS PPOBJMS VERB ADV DET NMP	sur quelque chose qui est juste s' il y a juste quelques oublis	<eps> quelque chose qui est juste <eps> <eps> <eps> <eps> juste quelques oui	_
2811	NMP PPER3MS PPOBJMS VERB DINTMS NMS PREL VERB ADV PINDMS VERB DETFS NFS PREP DET	messieurs il y a un garçon qui attend qu' on présente la couverture de son	<eps> il y a un garçon qui attend qu' on présente la couverture de <eps>	_
2812	PROPN XFAMIL PREP PINDMS PREP ADV DETMS ADJMS	guillaume roquette avec tout de même le nouveau	guillaume roquette avec tout de même le nouveau	_
2813	COCO PDEMMS VERB ADV DET NMP NMP PROPN	mais ça marche encore les francs maçons guillaume	<eps> ça marche encore les francs-maçons <eps> guillaume	_
2814	PREP PRON PREL VERB ADV ADJMS AUX PPOBJMP DET NMP ADJMP ADV COSUB PREP DET NFS PREP PROPN XFAMIL PPER3MP VERB DINTFS NFS PREP DETFS ADJFS PREP NMS ADV DINTMS NMS COCO PREP NMS PREL ADV VERB ADV DINTMS NMS PREP PROPN XFAMIL COCO PREP PDEMMS NMS AUX DINTMS NMS ADJMS	(h) ce qui marche surtout c' est eux les francs maçons parce que depuis l' élection de françois hollande ils ont une influence à la même au sein même du gouvernement et au parlement qui n' avait plus du tout sur nicolas sarkozy et en ça c' est un sujet nouveau	<eps> ce qui marche sur tous ses oeufs les francs-maçons <eps> parce que depuis l' élection de françois hollande ils ont une influence à la même au sein même du gouvernement et au parlement qui n' avait plus du tout sur nicolas sarkozy est en ça c' est un sujet nouveau	_
2815	ADV ADV ADV PREFP ADV AUX ADV VPPMS INTJ INTJ PROPN PINDMS VERB ADV PREFP AUX DETMS NMS PREP DETFS NFS	bien très bien vous l' avez bien vendu merci merci guillaume on comprend pourquoi vous êtes le directeur de la rédaction	<eps> très bien vous l' avez bien vendu merci <eps> guillaume on comprend pourquoi vous êtes le directeur de la rédaction	_
2816	PDEMMS AUX ADJMS	c' est vrai	<eps> est vrai	_
2817	PREFP VERB PREP ADJMS <eps> VERB PREP NMS	parlons parlons à présent <eps> parlons à présent	par l' eau après en parlons à présent	_
2818	ADV	encore		_
2819	COSUB PREFP PPOBJMS VERB ADV VERB PREP PROPN XFAMIL PREP VERB CHIF NMP PREP NFS PREP PROPN XFAMIL XFAMIL XFAMIL XFAMIL XFAMIL COCO PROPN XFAMIL ADV PREP DET CHIF ADV PREP PREFP PROPN CHIF AUX ADV VPPMS	si vous le voulez bien parlons d' arcelor mittal pour commencer trois hommes en photo dans marianne françois hollande jean marc ayrault et arnaud montebourg alors sur ces trois là pour vous laurent deux ont carrément failli	<eps> vous le voulez bien parlons d' arcelor mittal pour commencer trois hommes en photo dans marianne françois hollande jean-marc <eps> ayrault et arnaud montebourg alors sur ces trois là pour vous laurent deux ont carrément failli	_
2820	INTJ PREP NMS PROPN XFAMIL XFAMIL AUX VPPMS PREP VERB DETMS NMS PREP PROPN PREP DINTFS NFS ADV COSUB PPER3MS VERB VERB DET NFP PREP DET NMS ADJMS AUX DINTFS NFS PREP <eps> ADJFS NFS	oui d' abord jean marc ayrault a menti en présentant le plan pour florange comme une victoire alors qu' il faut appeler les choses par leur nom c' est une reculade en <eps> rase campagne	oui d' abord jean-marc <eps> ayrault a menti en présentant le plan pour florange comme une victoire alors qu' il faut appeler les choses par leur nom c' est une reculade en en rase campagne	_
2821	PINDMS AUX VPPMS PREP AUX VERB COSUB PINDMS VERB VERB PDEMMS NMS ADV ADV PREP VERB <eps> PREP NFS ADJFS VERB DETMS PREP ADV VERB PREP PDEMMS	on a menti en faisant croire qu' on pourrait sauver ce site pourquoi pas en nationalisant <eps> de façon provisoire rappelons le pour finalement arriver à ça	<eps> a menti en faisant croire qu' on pourrait sauver ce site pourquoi pas on nationalise en de façon provisoire rappelons le pour finalement arriver à ça	_
2822	COCO PPER3MS ADV AUX ADV DETMS ADJMS PROPN XFAMIL XFAMIL PREP AUX VPPMS PROPN XFAMIL AUX VPPMS PPER1S PPOBJMS PPOBJMS VERB COCO PPER3MS VERB PPOBJMS PPOBJMS VERB PREP DINTMS NMS PREP PROPN	mais il n' est pas le seul jean marc ayrault à avoir menti françois hollande est allé je m' en souviens et il faut le le rappeler sur un camion à flo(range)	mais il n' est pas le seul jean-marc <eps> ayrault <eps> avoir menti françois hollande est allé je m' en souviens et il faut le <eps> rappeler sur un camion affleure <eps>	_
2823	PROPN	(pré)sidentielle	ancien	_
2824	DETMS CHIF CHIF NMS CHIF CHIF CHIF PREP VERB PPER1S VERB ADV PREP VERB DINTFS NFS PPER1S ADV PREFP VERB ADV PDEMMS VERB DINTMS ADV PREP DINTMS NMS PREP PRON PREL AUX VPPMS DET ADJMS NMS PREP DETFS NFS <eps> PREP DINTMS ADJMS NMS ADJFS NFS	le vingt quatre février deux mille douze pour dire je viens ici pour faire une promesse je ne vous trahirai pas ça sonne un peu comme un écho de ce qu' avait dit l' ancien président de la république <eps> sur un autre site dernière chose	<eps> vingt quatre février deux milles douze pour dire je viens ici pour faire une promesse je ne vous trahissez pas ça sonne un peu comme un écho de ce qu' avait dit l' ancien président de la réfle publie sur un autre site dernière chose	_
2825	PPER3MS VERB DET PINDMS PREP DETFS NFS ADV COSUB PPER3MS PPOBJMS PPOBJMS VERB DINTMS ADJMS <eps> DINTMS ADJMS NMS NMS ADJMS COCO ADV DINTMS ADJMS NMS PREP DET NMS ADJMS AUX PROPN PREL PREP DETFS NFS PREP PROPN ADV AUX VPPMS PREP VERB DET NFP PREL PPER3MS ADV AUX ADV VPPFP	il manque quelqu' un sur la photo parce qu' il y en a un troisième <eps> un quatrième pardon personnage important et donc un troisième menteur en l' occurrence c' est mittal qui depuis la reprise d' arcelor n' a céssé de faire des promesses qu' il n' a pas tenues	<eps> <eps> quelqu' un sur la photo parce qu' il y en a un troisième qui un quatrième pardon personnage important et donc un troisième menteur en l' occurrence c' est mittal qui depuis la reprise d' arcelor n' a cessé de faire des promesses qu' il n' a pas tenues	_
2826	COCO PINDMS VERB COSUB DET NOUN PREL PINDMS AUX VPPMP <eps> PREP DETFS DETFS NFS PREL PINDMS VERB ADV PINDMS AUX ADJMS COSUB AUX DET NMS PREL PINDMS VERB PREP PROPN ADV	et on comprend que ces gens qu' on a vus <eps> à la la télévision qu' on soit qu' on soit quel que soit l' avis qu' on a sur florange franchement	<eps> on comprend que ces gens qu' on a vu elle à la <eps> télévision qu' on soit qu' on soit quel que soit la vie qu' on a sur florange franchement	_
